type ligne;;;origine;ex;auteur 1;auteur 2;editeur;yr;J;classe;age;durée;nombre;moy;dif;m.c.;Ph;R;A;;;;;;;;;;;;;;;
tag;Apero;18 jeux;_;;_;_;_;_;_;_;_;_;_;_;_;;;;;;;;;;;;;;;;;;;
jeux;Ligretto Rouge;;Achat;1;_;;Scmidt;2000;;GP;8;20mn;13;3,69;1;;;_;;2;3;4;;;;;;;;;;;;
jeux;Zygomar;;Cocktail Games;1;Ehrhard;;Cocktail Games;2006;J;GP;6;20mn;6;4,83;2;;;R;;2;3;4;;;;;;;;;;;;
jeux;Rapidcroco;;Cocktail Games;1;Fraga;;Cocktail Games;2004;J;GP;7;30mn;34;3,71;1;;;R;;2;3;4;;;;;;;;;;;;
jeux;La Grande Parade;;Cocktail Games;1;Ehrhard;;Cocktail Games;2006;J;;6;_;2;4,00;_;;;R;;2;3;4;;;;;;;;;;;;
jeux;Vitrail;;Cocktail Games;1;Bodin;;Cocktail Games;2006;;GP;10;30mn;34;3,71;1;;;R;;2;3;4;;;;;;;;;;;;
jeux;Salut les Filles;;Cocktail Games;1;de la Taille;l'Homer;Cocktail Games;2006;;GP;16;15mn;4;4,25;1;;;R;;2;3;4;5;;;;;;;;;;;
jeux;Panicozoo;;Cocktail Games;1;Michaud;;Cocktail Games;2006;;GP;8;15mn;11;3,54;1;;;R;;2;3;4;5;;;;;;;;;;;
jeux;Anagramme;;Cocktail Games;1;Thoniel;;Cocktail Games;2005;;GP;12;15mn;11;3,72;2;;;R;;2;3;4;5;6;;;;;;;;;;
jeux;Syllabus;;Cocktail Games;1;de la Taille;;Cocktail Games;2005;;GP;12;15mn;18;3,33;2;;;R;;2;3;4;5;6;;;;;;;;;;
jeux;Contrario;;Cocktail Games;1;l'Homer;d'Epenoux;Cocktail Games;2001;;GP;10;30mn;93;3,81;2;;P;_;;2;3;4;5;6;;;;;;;;;;
jeux;Marabout;;Cocktail Games;1;Tostain;;Cocktail Games;2004;;GP;10;30mn;12;3,16;2;;;R;;2;3;4;5;6;7;8;;;;;;;;
